V7九间堂,通州,潞苑,通燕高速耿庄桥北出口中化石油对面,4室,220,68000,1496.0000
御汤山熙园,昌平,昌平其它,紧邻安泗路，距离北六环61号出口约2000米,4室,300,40000,1200.0000
华远和墅,大兴,南中轴机场商务区,南六环磁各庄桥沿南中轴向南2公里,5室,295,54000,1593.0000
天资华府,房山,长阳,房山区CSD政务大厅5号门,2室,94,45000,423.0000
观山源墅,房山,良乡,阳光北大街与多宝路交汇处西南（理工大学北校区西侧）,3室,290,47500,1377.5000
西山甲一号,丰台,丰台其它,长辛店生态城园博园南路路北500米,3室,118,57000,672.6000
电建金地华宸,门头沟,门头沟其它,长安街西延线南侧约500米,3室,180,64000,1152.0000
首创天阅西山,海淀,海淀北部新区,永丰路与北清路交汇处东北角，中关村壹号北,3室,175,80000,1400.0000
西山燕庐,门头沟,门头沟其它,长安街延线南约500米,3室,137,65000,890.5000
北科建泰禾丽春湖院子,昌平,沙河,中关村北延新核心，沙河水库边（地铁昌平线沙河站向南800米）,4室,379,50000,1895.0000
首开国风尚樾,朝阳,望京,望京南湖南路三帆中学对面,3室,146,120000,1752.0000
绿地海珀云翡,大兴,大兴其它,兴亦路京开高速东侧（黄村镇第一中心小学对面）,2室,102,70000,714.0000
中粮京西祥云,房山,长阳,地铁稻田站北800米，西邻京深路,4室,115,58000,667.0000
中冶德贤公馆,大兴,旧宫,德贤东路6号院（南四环榴乡桥东南角800米）,3室,186,77000,1432.2000
燕西华府,丰台,丰台其它,"王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）",3室,195,52000,1014.0000
天恒京西悦府,房山,阎村,燕房线阎村地铁站东南角约189米,3室,119,38000,452.2000
尚峯壹號,顺义,顺义其它,"中央别墅北区京承高速11号出口, 天承环路8号院",0室,107,36000,385.2000
合景寰汇公馆,通州,武夷花园,滨河中路和新华大街交汇处西南角，往南200米,2室,77,65000,500.5000
K2十里春风,通州,通州其它,永乐店镇漷小路百菜玛工业园对面,2室,74,24500,181.3000
K2十里春风,通州,通州其它,永乐店镇漷小路百菜玛工业园对面,3室,155,28000,434.0000
奥园北京源墅,密云,密云其它,溪翁庄镇,3室,120,24000,288.0000
金隅·金麟府,大兴,大兴其它,景园北街贵派大厦首层（荣昌东街地铁站对面）,3室,89,52695,468.9855
住总正华·时代广场,大兴,天宫院,地铁4号线生物医药基地站南200米,0室,61,55000,335.5000
天恒京西悦府,房山,阎村,燕房线阎村地铁站东南角约189米,3室,175,50000,875.0000
东方太阳城,顺义,顺义其它,潮白河畔（顺义新城滨河森林公园西300米）,5室,411,54000,2219.4000
和悦华锦,大兴,大兴其它,博兴八路与兴海一街交叉口西南侧100米,3室,89,52695,468.9855
尊悦光华,朝阳,CBD,光华东里甲1号院3号楼,3室,133,130000,1729.0000
新潮嘉园二期,通州,潞苑,潞苑南大街185号,1室,65,58000,377.0000
中海云筑,大兴,大兴新机场,京开高速庞各庄桥西1500米（庞各庄镇宏轩饺子馆儿对面）,3室,89,37000,329.3000
中海云筑,大兴,大兴新机场,京开高速庞各庄桥西1500米，团结路北（庞各庄镇宏轩饺子馆儿对面）,4室,266,38000,1010.8000
远洋五里春秋,石景山,石景山其它,五里坨黑石头路前行500m,3室,290,52024,1508.6960
绿城西府海棠,石景山,石景山其它,隆恩寺路北人大附石景山分校西侧,,90,52024,468.2160
和锦薇棠,朝阳,常营,黄渠东路与朝阳北路辅路交汇处,3室,290,68921,1998.7090
首创·河著,顺义,顺义其它,京承高速11出口（昌金路）向东900 米路北,4室,248,53000,1314.4000
华萃西山,门头沟,门头沟其它,永定镇地铁S1号线石厂西南700米,3室,83,47000,390.1000
山屿西山著,海淀,海淀北部新区,海淀区温泉镇太舟坞,3室,89,53000,471.7000
林肯时代,亦庄开发区,亦庄,荣华路与荣京西街交叉口西侧300米（荣京东街站西侧600米）,2室,103,42000,432.6000
信达·国子郡,昌平,沙河,沙河镇北沙河中路与高教园附近,3室,79,48810,385.5990
华业玫瑰东筑,通州,临河里,梨园南街与临河里路交汇处，通州地铁土桥站南行800米,2室,97,50000,485.0000
北京东湾,通州,万达,通惠北路98号,1室,58,68500,397.3000
天恒世界集,大兴,高米店,盛坊路1号院,0室,60,55000,330.0000
中铁诺德阅墅,顺义,中央别墅区,中央别墅区优山美地D区西北侧,4室,220,62000,1364.0000
懋源·璟岳,丰台,玉泉营,南三环西路99号院,2室,132,113000,1491.6000
懋源·璟岳,丰台,玉泉营,南三环西路99号院,4室,465,113000,5254.5000
山屿西山著,海淀,海淀北部新区,北清路山屿西山著,4室,225,53000,1192.5000
御世佳府,通州,潞苑,朝阳北路延长线北侧,4室,222,70000,1554.0000
公园十七区,顺义,后沙峪,中央别墅区火沙路和裕庆路交汇口北500米,3室,90,55711,501.3990
首开熙悦观湖,房山,房山其它,"房山区青龙湖镇中心区,西至魏各庄路,北至青龙湖管理处",3室,89,32500,289.2500
国誉府,顺义,马坡,聚源西路7号内205号,2室,80,43467,347.7360
金辰府,昌平,北七家,北五环定泗路北七家镇政府正南,3室,89,53000,471.7000
建邦·顺颐府,顺义,后沙峪,空港B区裕民大街30号千里马国际一层建邦·顺颐府售楼中心,3室,89,55583,494.6887
中铁·诺德春风和院,丰台,花乡,丰台区白盆窑六圈路和樊羊路交汇处东南,3室,89,67702,602.5478
萬橡悦府,昌平,回龙观,京藏高速与北清路交汇口东2公里,2室,73,54197,395.6381
中铁诺德·逸府,丰台,科技园区,樊羊路与六圈南路交汇处往南500米,2室,69,67702,467.1438
华萃西山,门头沟,门头沟其它,门头沟永定镇地铁S1号线石厂站西南700米,4室,135,52000,702.0000
碧桂园·京源著,延庆,延庆其它,百泉街与延康路交叉口北200米,3室,89,28000,249.2000
城市之光·东望,通州,通州其它,东五环化工桥向东京津高速第一出口通马路向南约500米,2室,70,51585,361.0950
合景泰富天汇,顺义,马坡,昌金路与通顺路交汇处,3室,89,38000,338.2000
金地旭辉·江山风华,大兴,黄村中,地铁4号线清源路站西侧800米,3室,89,55800,496.6200
水岸雁栖,怀柔,怀柔,雁栖镇京加路雁栖桥西北500米处,0室,56,34000,190.4000
懋源·璟玺,朝阳,中央别墅区,孙河京密路与京平辅路交叉口西行1000米,4室,262,86000,2253.2000
金隅学府,大兴,大兴其它,景园北街2号51-1号贵派大厦一楼,2室,82,52695,432.0990
台湖金茂悦,通州,通州其它,台湖镇亦庄新城惠民路与生态公园路交汇处,2室,80,50000,400.0000
中国铁建国际公馆,大兴,大兴其它,博兴十路中国铁建国际公馆,2室,80,52695,421.5600
迈宇平墅,顺义,顺义城,顺平路迈宇平墅,4室,217,38000,824.6000
中建国望府,丰台,丰台其它,射击场路中建国望府,5室,314,63630,1998.0000
阳光上东,朝阳,酒仙桥,东四环北路6号,3室,189,83000,1568.7000
北科建·翡翠华府,怀柔,怀柔,中高路与乐园大街交汇处（雁栖河生态廊道旁）,3室,95,40567,385.3865
保利绿城·和锦诚园,大兴,瀛海,8号线南段地铁站东1.6公里,3室,111,62000,688.2000
金悦郡,通州,通州其它,亦庄新城环景西一路与景盛南二街交叉口珠江逸景家园南区西侧,2室,72,36000,259.2000
北京恒大上河院,密云,密云其它,科技路东侧,2室,79,25500,201.4500
路劲·御合院,大兴,大兴新机场洋房别墅区,采育镇彩凤路与育进街交叉口,3室,89,29000,258.1000
熙红印,大兴,西红门,宏福路3号,2室,65,64400,418.6000
长安和玺,石景山,古城,古城南里长安和玺,4室,125,74000,925.0000
观承·望溪,顺义,后沙峪,京承高速8号出口东800米,4室,257,55800,1434.0600
富力首开·金禧璞瑅,顺义,顺义其它,高泗路四村段23号,5室,360,36000,1296.0000
熙悦天寰,丰台,丰台其它,鑫博西路与大灰厂东路交口西行20米,3室,89,58000,516.2000
金融街武夷·融御,通州,武夷花园,通胡大街与东六环西侧路交汇处东南角,2室,50,62000,310.0000
中骏云景台,房山,房山其它,官道北21号,2室,75,28000,210.0000
北京金茂府二期,丰台,宋家庄,宋家庄地铁站F口旁,2室,75,103000,772.5000
禧瑞金海,平谷,平谷其它,平蓟路与环镇东路交汇,2室,87,22000,191.4000
禧瑞金海,平谷,平谷其它,平蓟路与环镇东路交汇,2室,125,22000,275.0000
中国铁建·山语澜廷,房山,房山其它,阎吕路中国铁建·山语澜廷,4室,223,30000,669.0000
京澜誉府,通州,万达,玉带河大街乙72号,3室,99,60000,594.0000
电建·洺悦湾,大兴,旧宫,旧宫北路旧宫地铁站东侧300米,2室,75,54715,410.3625
观承·望溪,顺义,后沙峪,京承高速8号出口东800米,4室,130,55800,725.4000
西山上品湾MOMA,昌平,昌平其它,阳坊镇温南路与阳八路交汇处,3室,130,37500,487.5000
中骏天峰,门头沟,滨河西区,石龙东路中骏天峰,3室,89,53000,471.7000
中海寰宇时代,大兴,瀛海,8号线地铁瀛海站南200米,2室,49,55128,270.1272
合景·领汇长安,门头沟,滨河西区,北京市门头沟区S1号线桥户营站西300米,3室,78,50000,390.0000
大苑·海淀府,海淀,田村,西四环外2000米，田村路北大苑·海淀府,3室,170,110000,1870.0000
禹洲朗廷湾,通州,通州其它,朝阳北路和通顺路交汇处,3室,80,52508,420.0640
金茂北京国际社区,顺义,顺义其它,水色西路西侧,1室,50,36903,184.5150
住总如院,大兴,大兴新机场洋房别墅区,采育镇采华路南端,2室,98,31136,305.1328
北科建翡翠华庭,怀柔,怀柔,京密路辅路与怀杨路交叉口东侧100米,2室,88,29438,259.0544
中海甲叁號院,丰台,玉泉营,丰台恒丰路,3室,145,117500,1703.7500
熙悦宸著,大兴,西红门,福欣路与京开路交叉口东南侧,3室,81,64400,521.6400
亦庄橡树湾,亦庄开发区,马驹桥,马驹桥镇亦庄新城漷马路与兴华南街交汇处东300米,2室,78,37000,288.6000
海淀幸福里,海淀,海淀北部新区,北清路海淀幸福里,3室,98,80000,784.0000
京投发展公园悦府,昌平,回龙观,回南北路与科星西路交汇路口处（8号线平西府站向东200米）,3室,86,58500,503.1000
兴创屹墅,大兴,高米店,"双高路兴创屹墅小区, 高米店南里",5室,464,70000,3248.0000
华贸铂金墅,朝阳,北苑,清苑路华贸天地北侧,3室,326,69000,2249.4000
天恒乐墅,房山,阎村,京港澳高速阎村出口西行1500米,4室,184,43370,798.0080
丽景长安二期,门头沟,冯村,永定镇石龙西路与三石路交叉口向南200米西侧,4室,155,52000,806.0000
观承别墅·大家,顺义,后沙峪,高丽营镇京承高速8号出口路东,4室,300,55000,1650.0000
卓越万科翡翠山晓,石景山,石景山其它,石景山石门路东侧500米,3室,90,49999,449.9910
